yomi,kanji,hinshi
あくてぃべーと,Activ8,人名
あると,Alt!!,人名
あのん,ANON,人名
あるこ,ARu子,人名
あばたー２,AVATAR 2.0,人名
あずき,AZKi,人名
ぼくすばー,BOXBAR,人名
くらすたー,cluster,人名
さいばーぶい,CyberV,人名
だんて,Dante's Peak,人名
だんてずぴーく,Dante's Peak,人名
あさせ,DeepWebUnderground,人名
どぅ,DeepWebUnderground,人名
りお,DJ RIO,人名
えま,Emma Hazy Minami,人名
みなみ,Emma Hazy Minami,人名
えな,ENA,人名
ふぇありす,fairys,人名
ふぃくてぃ,Ficty,人名
はにすと,Honeystrap,人名
いこつ,Icotsu,人名
いりあむ,IRIAM,人名
きりん,Kilin,人名
きつねこん,KITSUNEKON,人名
ｋｍんｚ,KMNZ,人名
けものず,KMNZ,人名
らいむ,Lime,人名
りめ,Lime,人名
りた,LITA,人名
りず,LIZ,人名
まーぷる,Marple,人名
まてりある,MateReal,人名
もぐらいぶ,MoguLive,人名
もぐら,Mogura,人名
ｍｚｍ,MonsterZ MATE,人名
もんすたーずめいと,MonsterZ MATE,人名
のえる,Noelle,人名
のて,Note:,人名
のーと,Note:,人名
りあくと,Re:AcT,人名
さくらめい,SakuraMay,人名
そむにあ,somunia,人名
ヴぃーなすあんじぇりっく,Venus Angelic,人名
ｖｃ,Virtual Cast,人名
ばーちゃるきゃすと,Virtual Cast,人名
にーつ,VT-212,人名
うぃーく,we◡ek,人名
ほわいとほーる,WHITEHOLE,人名
ゆに,YuNi,人名
いｆ,アイディアファクトリー,人名
となり,アオハルトナリ,人名
あき,アキ・ローゼンタール,人名
あきろぜ,アキ・ローゼンタール,人名
あきろーぜんたーる,アキ・ローゼンタール,人名
あずまりむ,アズマリム,人名
あずりむ,アズマリム,人名
あっくん,あっくん大魔王,人名
あっくんだいまおう,あっくん大魔王,人名
そよぎ,あまねそよぎ,人名
あめざり,アメリカザリガニ,人名
あもすこーうぇん,アモス・コーウェン,人名
あもん,アモン・フロックハート,人名
ありあーて,アリアーテ学園,人名
ありす,アリスクリューム,人名
ありすくりゅーむ,アリスクリューム,人名
あいこ,アリスクリューム バニラ・アイコ,人名
あるすあるまる,アルス・アルマル,人名
あるまる,アルス・アルマル,人名
あるぶら,あるふぁブラザーズ,人名
あるれいやるふぉん,アルレイヤ・ルフォン,人名
るふぉん,アルレイヤ・ルフォン,人名
あんじゅ,アンジュ・カトリーナ,人名
あんじゅかとりーな,アンジュ・カトリーナ,人名
あんじゅ,アンジュお姉さん,人名
ｍｚｍ,アンジョー　コーサカ,人名
いそまな,いそら真実,人名
いそらまなみ,いそら真実,人名
いらるーじゅみらびっち,イラルージュ・ミラビッチ,人名
みらびっち,イラルージュ・ミラビッチ,人名
いんさいどちゃん,インサイドちゃんMark1,人名
いんさいどちゃん,インサイドちゃんMark2,人名
つーちゃん,インサイドちゃんMark2,人名
あんじぇりっく,ヴィーナス・アンジェリック,人名
うぃっちだりすいーと,ウィッチ・ダリ・スイート,人名
だり,ウィッチ・ダリ・スイート,人名
あいり,ウェザーロイドAiri,人名
うぇざーろいどあいり,ウェザーロイドAiri,人名
うさこ,うさ野うさ子,人名
うさのうさこ,うさ野うさ子,人名
えーじぇんとささき,エージェント佐々木,人名
ささき,エージェント佐々木,人名
えくす,エクス・アルビオ,人名
えくすあるびお,エクス・アルビオ,人名
えびお,エクス・アルビオ,人名
はぴばと,エピト ハチピ,人名
えま,えま★おうがすと,人名
えまおうがすと,えま★おうがすと,人名
えりーこにふぁー,エリー・コニファー,人名
こにふぁー,エリー・コニファー,人名
えるせ,エルセとさめのぽき,人名
える,エルフのえる,人名
かずみ,エンジンかずみ,人名
おさなずな,おさナズナ,人名
おめしす,おめがシスターズ,人名
りお,おめがリオ,人名
れい,おめがレイ,人名
おめしす,おめがレイ おめがリオ,人名
んぬぐむ,ォ逅,人名
ろき,カオスロキ,人名
なな,かぐらなな,人名
まり,かしこまり,人名
かふぇのぞんびこ,カフェ野ゾンビ子,人名
ぞんびこ,カフェ野ゾンビ子,人名
かるろぴの,カルロ・ピノ,人名
ぴの,カルロ・ピノ,人名
がんばるうこ,がんばるぅ子,人名
るうこ,がんばるぅ子,人名
あい,キズナアイ,人名
きみのみや,キミノミヤ,人名
みや,キミノミヤ,人名
ぎるざれん,ギルザレンIII世,人名
ぐうぇるおすがーる,グウェル・オス・ガール,人名
くま,クマ野クマエル3世,人名
くまのくまえるさんせい,クマ野クマエル3世,人名
くらすたー,くらすたーちゃん,人名
けいと,ケイト・アーモリア,人名
けいとあーもりあ,ケイト・アーモリア,人名
まさひろ,ゴウキマヒロ,人名
ごるし,ゴールドシップ,人名
ごーるどしっぷ,ゴールドシップ,人名
あいな,コモリアイナ,人名
ごるんのヴぁそうとう,ゴルンノヴァ総統,人名
そうとう,ゴルンノヴァ総統,人名
さいばもえ,さいば萌,人名
もえ,さいば萌,人名
やひろ,さえきやひろ,人名
しぇりん,シェリン・バーガンディ,人名
くれあ,シスター・クレア,人名
しすたーくれあ,シスター・クレア,人名
まりす,ジャバウォッキー・マリス,人名
しゃるろっと,シャルロット・卯・イナヴァリエール,人名
じょーりきいち,ジョー・力一,人名
りきいち,ジョー・力一,人名
しろねこていねこすけ,しろねこ亭ねこすけ,人名
ねこすけ,しろねこ亭ねこすけ,人名
そにこ,すーぱーそに子,人名
すずしろまな,すずしろ真菜,人名
まな,すずしろ真菜,人名
える１,スノー・ホワイト・パラダイス・エルサント・フロウ・ワスレナ・ピュア・プリンセス・リーブル・ラブ・ハイデルン・ドコドコ・,人名
みち,せいかみち,人名
くるみ,ぜったい天使くるみちゃん,人名
ぜったいてんしくるみちゃん,ぜったい天使くるみちゃん,人名
すう,セフィラ・スゥ,人名
せふぃらすう,セフィラ・スゥ,人名
そふぃあこーど,ソフィアコード,人名
だーだだじぇっとぶらんこ,ダーダダ・ジェット・ブランコ,人名
ぶらんこ,ダーダダ・ジェット・ブランコ,人名
さき,たかさき咲,人名
たかさきさき,たかさき咲,人名
あとり,タシギアトリ,人名
たしぎあとり,タシギアトリ,人名
ちゅうべえ,チュゥ兵衛,人名
はな,ツキトハナ,人名
あかぎ,つのはねあかぎ,人名
あさせ,ディープウェブ・アンダーグラウンド,人名
どぅ,ディープウェブ・アンダーグラウンド,人名
でびでびでびる,でびでび・でびる,人名
でびる,でびでび・でびる,人名
にめれーとごう,テルミン操縦士 ニメレート号,人名
あかほし,ドーセット・アカホシ,人名
どーせっとあかほし,ドーセット・アカホシ,人名
なう,なう。,人名
ななみろな,ﾅﾅﾐﾛﾏ,人名
そしえーる,ニュイ・ソシエール,人名
にゅいそしえーる,ニュイ・ソシエール,人名
のら,のらきゃっと,人名
うびば,ばあちゃる,人名
うま,ばあちゃる,人名
さちこ,バーチャルグランドマザー小林幸子,人名
ごりら,バーチャルゴリラ,人名
ねこます,バーチャルのじゃロリ狐娘Youtuberおじさん,人名
のじゃろり,バーチャルのじゃロリ狐娘Youtuberおじさん,人名
てんかいつかさ,バーチャル債務者youtuber天開司,人名
せしりあ,バーチャル執事Cecilia,人名
おだのぶ,バーチャル戦国武将おだのぶ,人名
くらうん,パウレ・クラウン,人名
ぱうれくらうん,パウレ・クラウン,人名
かんな,はかりかんな,人名
ぱげみ,パゲ美,人名
あいこ,バニラ・アイコ博士,人名
ばにらあいこはかせ,バニラ・アイコ博士,人名
りしあ,バブみ看板娘リシア,人名
ぱらぺら,パラぺら,人名
とめこ,はれんちとめこ,人名
きてぃ,ハローキティ,人名
はろーきてぃ,ハローキティ,人名
いきりまめ,ピーナッツくん,人名
みう,ヒヅキミウ,人名
うい,ひなの羽衣,人名
ひなのうい,ひなの羽衣,人名
ひま,ひま食堂,人名
ひましょくどう,ひま食堂,人名
ｐｐｈ,ピンキーポップヘップバーン,人名
ぴんきーぽっぷへっぷばーん,ピンキーポップヘップバーン,人名
へっぷばーん,ピンキーポップヘップバーン,人名
ぶいおん,ぶいおん!!,人名
ふぇありいみどりかわ,フェアリィ緑川,人名
みどりかわ,フェアリィ緑川,人名
ふくやますたー,ふくやマスター,人名
ますたー,ふくやマスター,人名
けつみ,ぷり田ケツ美,人名
ぷりたけつみ,ぷり田ケツ美,人名
ふれん,フレン・E・ルスタリオ,人名
ばんぎらす,ベルモンド・バンデラス,人名
ばんでらす,ベルモンド・バンデラス,人名
べるもんどばんでらす,ベルモンド・バンデラス,人名
へる,ヘル様,人名
へるさま,ヘル様,人名
らいさ,ほしぐもらいさ,人名
ぼろまる,ぼっちぼろまる,人名
まかいるしふぁー,マカイ・ルシファー,人名
るしふぁー,マカイ・ルシファー,人名
よみ,マガジヨミ,人名
ゆゆ,マシロユユ,人名
もあ,まどろみもあ,人名
まや,マヤ・プトゥリ,人名
まやぷとぅり,マヤ・プトゥリ,人名
まりー,マリー・アンドロイド,人名
まりーあんどろいど,マリー・アンドロイド,人名
まりーちゃん,マリー・アンドロイド,人名
がるるら,ミィ・ガルルラ,人名
みいがるるら,ミィ・ガルルラ,人名
みか,ミカ・エルハインド,人名
みそした,ミソシタ,人名
なお,ミハリナオ,人名
みらな,ミラナ・ラヴィーナ,人名
みらならヴぃーな,ミラナ・ラヴィーナ,人名
ゆきさん,メイドのユキさん,人名
ばぶみ,めっちゃばぶ美,人名
めっちゃばぶみ,めっちゃばぶ美,人名
めりっさ,メリッサ・キンレンカ,人名
めめめ,もこ田めめめ,人名
もこためめめ,もこ田めめめ,人名
える２,ヤッタゼ・ヴァルキュリア・パッション・アールヴ・ノエル・チャコボシ・エルアリア・フロージア・メイドイン・ブルーム・エル,人名
やまといおり,ヤマト イオリ,人名
いおり,ヤマト・イオリ,人名
やまといおり,ヤマト・イオリ,人名
けりん,ヤミクモケリン,人名
ゆにこ,ゆにゆにこ,人名
あくあまりん,ユミィアクアマリン,人名
ゆみいあくあまりん,ユミィアクアマリン,人名
